CLIENTE,PRODUCTO,CIUDAD,VENDEDOR,ESTADO,VALOR VENTA,Comision,Otro
Cristián Grajales,Acetona ,IBAGUE,Grajales Cri,Abierto,1674416,46883,648
Juliana Pérez,Gas,CUCUTA,Vanegas Cam,Abierto,26604104,744914,912
Manuela Betancur,Kerosene,BOGOTA,Zapata Val,Cerrado,2082576,58312,128
Valentina De Los Ríos,Alquitran,CARTAGENA,Alzate Val,Abierto,13278350,371793,8
Juliana Pérez,Acetona ,PASTO,Sánchez Mar,Pendiente envío,2583391,72334,948
Valentina García,Gas,BOGOTA,Zapata Man,Ingresado,6520500,182574
Juan Cardona,Gas,BOGOTA,Ortiz Ger,Abierto,1643140,46007,92
Valentina De Los Ríos,Acetileno,PEREIRA,Zapata Val,Abierto,2878945,80610,46
Clara Sánchez,Acido Sulfúrico,MEDELLIN,Sánchez Mar,Abierto,1671734,46808,552
Valentina Zapata,Acetona ,PEREIRA,Cardona Jua,Pendiente envío,2825305,79108,54
Valentina Zapata,Kerosene,MEDELLIN,Rodríguez Ale,Pendiente envío,4217773,118097,644
Luisa Cely,Gas,BOGOTA,Betancur Man,Abierto,6478614,181401,192
Andrea Arenas,Acetona ,BOGOTA,Muriel Nat,Abierto,6111036,171109,008
Manuela Zapata,Eter Etílico,PEREIRA,Vanegas Cam,Abierto,2963850,82987,8
Alejandro Rodríguez,Toluol,MEDELLIN,Zapata Die,Abierto,3513644,98382,032
Manuela Gómez,Eter Etílico,BOGOTA,Zapata Die,Abierto,2628091,73586,548
Natalia Zapata,Kerosene,BOGOTA,Rodríguez Ale,Abierto,11477169,321360,732
Valentina Zapata,Acetileno,PEREIRA,Cely Lui,Abierto,2784000,77952
Natalia Zapata,Toluol,MEDELLIN,Cely Lui,Abierto,1480293,41448,204
Valentina Zapata,Acetileno,CALDAS,Vanegas Cam,Cerrado,2098570,58759,96
Alejandro Rodríguez,Acetona ,CALDAS,Ortiz Ger,Abierto,1582704,44315,712
Camila Vanegas,Acetileno,PASTO,Alzate Val,Pendiente envío,1870000,52360
Manuela Betancur,Toluol,BUCARAMANGA,Betancur Man,Cerrado,1980000,55440
Nataly Muriel,Acetileno,CALI,Pérez Jul,Abierto,3468089,97106,492
Valentina Alzate,Acetona ,PASTO,Rodríguez Ale,Pendiente envío,2179532,61026,896
Valentina De Los Ríos,Toluol,MEDELLIN,Cardona Jua,Abierto,1450860,40624,08
Juliana Pérez,Cloruro de Amonio,MEDELLIN,Rodríguez Ale,Abierto,3212681,89955,068
Juliana Pérez,Acetileno,BARRANQUILLA,Cely Lui,Abierto,5229803,146434,484
Nataly Muriel,Toluol,BARRANQUILLA,Betancur Man,Abierto,7009432,196264,096
Camila Vanegas,Toluol,POPAYAN,Sánchez Mar,Cerrado,10500000,294000
Luisa Cely,Acetileno,MEDELLIN,Sánchez Mar,Pendiente envío,8944400,250443,2
Valentina Alzate,Gas,MEDELLIN,Gómez Man,Ingresado,8231756,230489,168
Manuela Gómez,Acetona ,MANIZALES,Rodríguez Ale,Pendiente envío,1408012,39424,336
Camila Vanegas,Acetileno,BOGOTA,Alzate Val,Abierto,6418000,179704
Camila Vanegas,Kerosene,NEIVA,Pérez Jul,Abierto,2071155,57992,34
Camila Vanegas,Gas,CUCUTA,Zapata Man,Ingresado,15099412,422783,536
Valerie Zapata,Toluol,BOGOTA,Betancur Man,Abierto,1860000,52080
Alejandro Rodríguez,Toluol,MEDELLIN,Gómez Man,Abierto,1617040,45277,12
Natalia Zapata,Toluol,MEDELLIN,Betancur Man,Abierto,3527920,98781,76
Juliana Pérez,Eter Etílico,BOGOTA,García Val,Ingresado,1670958,46786,824
Diego Zapata,Acetileno,NEIVA,Arenas And,Ingresado,37118794,1039326,232
Alejandro Rodríguez,Acetileno,TULUA,Grajales Cri,Abierto,7797238,218322,664
Alejandro Rodríguez,Eter Etílico,MEDELLIN,Vanegas Cam,Abierto,2082312,58304,736
Diego Zapata,Acetileno,MEDELLIN,De Los Ríos Val,Cerrado,1450000,40600
Valerie Zapata,Acetileno,TULUA,Betancur Man,Pendiente envío,1511925,42333,9
Valentina De Los Ríos,Acido Sulfúrico,PASTO,Betancur Man,Ingresado,1572312,44024,736
Valentina García,Cloruro de Amonio,BOGOTA,Zapata Die,Ingresado,2695648,75478,144
Valentina De Los Ríos,Acido Sulfúrico,SANTA MARTA,García Val,Cerrado,1900000,53200
Clara Sánchez,Acetileno,BOGOTA,Cardona Jua,Pendiente envío,1910380,53490,64
Clara Sánchez,Acetileno,MEDELLIN,García Val,Abierto,3548589,99360,492
Camila Vanegas,Eter Etílico,PASTO,Rodríguez Ale,Abierto,1828562,51199,736
Manuela Betancur,Acetileno,MEDELLIN,Zapata Val,Abierto,4554929,127538,012
Manuela Zapata,Alquitran,PEREIRA,Pérez Jul,Pendiente envío,4110241,115086,748
Clara Sánchez,Acetileno,NEIVA,Rodríguez Ale,Abierto,2338136,65467,808
Cristián Grajales,Acido Clorhidrico-Muriático,BUCARAMANGA,Cardona Jua,Pendiente envío,23865269,668227,532
Valentina De Los Ríos,Acido Sulfúrico,BOGOTA,Ortiz Ger,Cerrado,4005084,112142,352
Camila Vanegas,Cloruro de Amonio,MEDELLIN,Vanegas Cam,Ingresado,1627000,45556
Valentina De Los Ríos,Gas,SINCELEJO,Gómez Man,Cerrado,1690478,47333,384
Clara Sánchez,Acetona ,BOGOTA,Zapata Die,Ingresado,6700899,187625,172
Cristián Grajales,Gas,MEDELLIN,Pérez Jul,Abierto,16412681,459555,068
Andrea Arenas,Acido Sulfúrico,BOGOTA,Alzate Val,Abierto,1364570,38207,96
Valerie Zapata,Acido Clorhidrico-Muriático,BOGOTA,Grajales Cri,Abierto,1732500,48510
Clara Sánchez,Acido Sulfúrico,CALI,Zapata Die,Abierto,7411813,207530,764
Juan Cardona,Kerosene,BOGOTA,Gómez Man,Abierto,5788315,162072,82
Juan Cardona,Toluol,MEDELLIN,Zapata Die,Abierto,3152946,88282,488
Luisa Cely,Acido Clorhidrico-Muriático,MEDELLIN,García Val,Abierto,10913000,305564
Camila Vanegas,Acido Sulfúrico,BOGOTA,Ortiz Ger,Abierto,3724738,104292,664
Valentina Zapata,Toluol,NEIVA,Rodríguez Ale,Abierto,2305779,64561,812
Nataly Muriel,Toluol,PEREIRA,Cely Lui,Ingresado,4675000,130900
Valentina De Los Ríos,Kerosene,BOGOTA,Grajales Cri,Abierto,1355000,37940
Luisa Cely,Acetona ,MEDELLIN,Ortiz Ger,Abierto,3639427,101903,956
Valentina Alzate,Acetileno,VILLAVICENCIO,Arenas And,Cerrado,2186870,61232,36
Natalia Zapata,Acetona ,PEREIRA,Alzate Val,Pendiente envío,2784000,77952
Clara Sánchez,Acetileno,BOGOTA,Muriel Nat,Abierto,2023465,56657,02
Juan Cardona,Cloruro de Amonio,NEIVA,Alzate Val,Abierto,2324178,65076,984
Juliana Pérez,Kerosene,PASTO,Alzate Val,Ingresado,2030620,56857,36
Manuela Zapata,Acido Clorhidrico-Muriático,NEIVA,Rodríguez Ale,Abierto,2362000,66136
Manuela Zapata,Gas,MEDELLIN,Zapata Man,Abierto,3177352,88965,856
Juan Cardona,Acetona ,NEIVA,De Los Ríos Val,Pendiente envío,2159459,60464,852
Andrea Arenas,Acido Clorhidrico-Muriático,CUCUTA,Zapata Man,Abierto,8782876,245920,528
Luisa Cely,Cloruro de Amonio,PASTO,Sánchez Mar,Abierto,2579766,72233,448
Clara Sánchez,Acido Sulfúrico,NEIVA,Muriel Nat,Pendiente envío,2309348,64661,744
Nataly Muriel,Cloruro de Amonio,BOGOTA,Zapata Man,Ingresado,1355000,37940
Manuela Zapata,Eter Etílico,PASTO,Cely Lui,Abierto,2609678,73070,984
Manuela Zapata,Kerosene,MEDELLIN,Cely Lui,Pendiente envío,1480092,41442,576
Manuela Zapata,Eter Etílico,NEIVA,Rodríguez Ale,Cerrado,3656786,102390,008
Manuela Gómez,Acetileno,PASTO,Pérez Jul,Cerrado,1939846,54315,688
Valentina Zapata,Toluol,NEIVA,De Los Ríos Val,Abierto,2024670,56690,76
Valentina García,Acetileno,MEDELLIN,Zapata Nat,Pendiente envío,60340489,1689533,692
Cristián Grajales,Eter Etílico,BOGOTA,Gómez Man,Pendiente envío,1381213,38673,964
Nataly Muriel,Alquitran,MEDELLIN,Vanegas Cam,Pendiente envío,13848057,387745,596
Juan Cardona,Alquitran,BOGOTA,Grajales Cri,Abierto,1956345,54777,66
Juliana Pérez,Gas,MEDELLIN,Sánchez Mar,Abierto,3082721,86316,188
Valentina De Los Ríos,Acetona ,BOGOTA,Grajales Cri,Abierto,1520000,42560
Geraldine Ortiz,Alquitran,SINCELEJO,Zapata Die,Abierto,1386000,38808
Valerie Zapata,Eter Etílico,BOGOTA,Cely Lui,Abierto,6581448,184280,544
Cristián Grajales,Gas,MEDELLIN,De Los Ríos Val,Ingresado,3527856,98779,968
Valentina Zapata,Toluol,PASTO,Muriel Nat,Pendiente envío,1679974,47039,272
Manuela Gómez,Acido Clorhidrico-Muriático,NEIVA,Zapata Die,Cerrado,1710451,47892,628
Juan Cardona,Acetileno,BOGOTA,Muriel Nat,Pendiente envío,2068839,57927,492
Camila Vanegas,Kerosene,BOGOTA,Alzate Val,Abierto,2717303,76084,484
Valentina Alzate,Cloruro de Amonio,MEDELLIN,Rodríguez Ale,Cerrado,27366756,766269,168
Natalia Zapata,Toluol,BOGOTA,De Los Ríos Val,Abierto,6523875,182668,5
Luisa Cely,Kerosene,MEDELLIN,Gómez Man,Cerrado,1944554,54447,512
Cristián Grajales,Gas,MEDELLIN,De Los Ríos Val,Pendiente envío,1387008,38836,224
Juan Cardona,Alquitran,MEDELLIN,Grajales Cri,Abierto,2160000,60480
Natalia Zapata,Acido Clorhidrico-Muriático,MEDELLIN,Gómez Man,Ingresado,3405214,95345,992
Valentina De Los Ríos,Toluol,PEREIRA,Zapata Val,Abierto,1400000,39200
Manuela Gómez,Eter Etílico,NEIVA,Zapata Die,Abierto,2380000,66640
Valentina De Los Ríos,Eter Etílico,MONTERIA,Grajales Cri,Abierto,8545050,239261,4
Manuela Betancur,Acetona ,IBAGUE,Gómez Man,Abierto,2207700,61815,6
Valentina Alzate,Cloruro de Amonio,NEIVA,Cely Lui,Abierto,1900000,53200
Andrea Arenas,Kerosene,BOGOTA,Sánchez Mar,Cerrado,6457000,180796
Alejandro Rodríguez,Acetileno,BOGOTA,Muriel Nat,Abierto,1809997,50679,916
Juan Cardona,Toluol,BOGOTA,García Val,Cerrado,2192995,61403,86
Valerie Zapata,Gas,BOGOTA,De Los Ríos Val,Ingresado,2678004,74984,112
Natalia Zapata,Alquitran,PEREIRA,Ortiz Ger,Abierto,11609217,325058,076
Manuela Gómez,Acetona ,MEDELLIN,Cardona Jua,Pendiente envío,1453658,40702,424
Natalia Zapata,Alquitran,MEDELLIN,De Los Ríos Val,Abierto,3024017,84672,476
Juliana Pérez,Acido Sulfúrico,PASTO,Alzate Val,Ingresado,2411748,67528,944
Luisa Cely,Gas,BOGOTA,Zapata Die,Ingresado,2231321,62476,988
Valentina De Los Ríos,Acido Clorhidrico-Muriático,MEDELLIN,Alzate Val,Pendiente envío,4487716,125656,048
Camila Vanegas,Acetileno,MEDELLIN,Muriel Nat,Ingresado,2034748,56972,944
Nataly Muriel,Alquitran,BARRANQUILLA,Cardona Jua,Abierto,5122914,143441,592
Clara Sánchez,Acido Clorhidrico-Muriático,SANTA MARTA,De Los Ríos Val,Ingresado,1430311,40048,708
Diego Zapata,Acido Clorhidrico-Muriático,MEDELLIN,Ortiz Ger,Pendiente envío,4933000,138124
Manuela Betancur,Cloruro de Amonio,CUCUTA,Gómez Man,Cerrado,1675000,46900
Geraldine Ortiz,Toluol,MEDELLIN,Grajales Cri,Abierto,1815951,50846,628
Manuela Betancur,Kerosene,MANIZALES,De Los Ríos Val,Abierto,1511228,42314,384
Andrea Arenas,Acido Clorhidrico-Muriático,PEREIRA,Zapata Nat,Abierto,2799214,78377,992
Camila Vanegas,Eter Etílico,BOGOTA,Zapata Die,Abierto,1876127,52531,556
Valentina De Los Ríos,Acetileno,PASTO,Ortiz Ger,Pendiente envío,2469005,69132,14
Alejandro Rodríguez,Toluol,BOGOTA,De Los Ríos Val,Cerrado,1418596,39720,688
Manuela Gómez,Eter Etílico,PASTO,Cardona Jua,Abierto,2393574,67020,072
Valentina García,Acetileno,MEDELLIN,Zapata Nat,Abierto,14944704,418451,712
Manuela Zapata,Acetileno,BOGOTA,De Los Ríos Val,Cerrado,2258833,63247,324
Valentina Alzate,Eter Etílico,SINCELEJO,Zapata Die,Abierto,26146645,732106,06
Juan Cardona,Toluol,CALDAS,Vanegas Cam,Ingresado,5206095,145770,66
Natalia Zapata,Toluol,BOGOTA,Gómez Man,Abierto,8204681,229731,068
Alejandro Rodríguez,Alquitran,IBAGUE,Vanegas Cam,Abierto,3226940,90354,32
Natalia Zapata,Acido Sulfúrico,MEDELLIN,Zapata Nat,Pendiente envío,3114870,87216,36
Nataly Muriel,Acetona ,MONTERIA,Gómez Man,Abierto,4711852,131931,856
Valentina García,Alquitran,BOGOTA,Vanegas Cam,Abierto,24509284,686259,952
Geraldine Ortiz,Acetileno,MEDELLIN,Pérez Jul,Abierto,3350650,93818,2
Nataly Muriel,Acetona ,CALI,Zapata Man,Ingresado,7589490,212505,72
Natalia Zapata,Cloruro de Amonio,ARMENIA,Ortiz Ger,Ingresado,5577350,156165,8
Alejandro Rodríguez,Acetona ,MEDELLIN,Cely Lui,Abierto,3160000,88480
Cristián Grajales,Eter Etílico,MEDELLIN,Gómez Man,Cerrado,9437476,264249,328
Luisa Cely,Gas,MEDELLIN,Zapata Val,Abierto,1576748,44148,944
Camila Vanegas,Toluol,BOGOTA,Ortiz Ger,Abierto,1417242,39682,776
Manuela Gómez,Gas,BARRANQUILLA,García Val,Abierto,5501750,154049
Valentina Zapata,Gas,PASTO,De Los Ríos Val,Abierto,5332368,149306,304
Valerie Zapata,Acido Sulfúrico,NEIVA,Zapata Man,Abierto,1626733,45548,524
Valentina Zapata,Acido Clorhidrico-Muriático,MEDELLIN,Ortiz Ger,Abierto,1354151,37916,228
Valerie Zapata,Kerosene,NEIVA,Alzate Val,Abierto,2348220,65750,16
Valentina García,Eter Etílico,BARRANQUILLA,Cardona Jua,Pendiente envío,4989367,139702,276
Alejandro Rodríguez,Acetileno,POPAYAN,Arenas And,Abierto,4908512,137438,336
Valerie Zapata,Acido Clorhidrico-Muriático,BOGOTA,Alzate Val,Ingresado,1997658,55934,424
Cristián Grajales,Acetileno,MONTERIA,Ortiz Ger,Cerrado,4930650,138058,2
Clara Sánchez,Eter Etílico,MANIZALES,Alzate Val,Abierto,1464169,40996,732
Valentina De Los Ríos,Gas,CALI,Arenas And,Abierto,7034189,196957,292
Valerie Zapata,Acido Sulfúrico,MEDELLIN,Cely Lui,Abierto,1344681,37651,068
Andrea Arenas,Gas,BOGOTA,Betancur Man,Abierto,1458810,40846,68
Andrea Arenas,Cloruro de Amonio,CALI,Alzate Val,Abierto,4962300,138944,4
Geraldine Ortiz,Eter Etílico,FLORENCIA,De Los Ríos Val,Abierto,40000000,1120000
Luisa Cely,Kerosene,BOGOTA,Cardona Jua,Abierto,6640910,185945,48
Natalia Zapata,Acido Sulfúrico,NEIVA,De Los Ríos Val,Pendiente envío,3644206,102037,768
Diego Zapata,Eter Etílico,ARMENIA,Rodríguez Ale,Abierto,15735304,440588,512
Andrea Arenas,Eter Etílico,BOGOTA,Grajales Cri,Ingresado,1643500,46018
Manuela Betancur,Kerosene,ARMENIA,Gómez Man,Abierto,1633500,45738
Diego Zapata,Gas,BOGOTA,García Val,Abierto,2712800,75958,4
Valentina García,Cloruro de Amonio,MEDELLIN,Muriel Nat,Abierto,1474335,41281,38
Valerie Zapata,Acido Clorhidrico-Muriático,MEDELLIN,Zapata Nat,Cerrado,4280313,119848,764
Juliana Pérez,Alquitran,MEDELLIN,Ortiz Ger,Abierto,1666680,46667,04
Manuela Betancur,Cloruro de Amonio,MEDELLIN,Arenas And,Abierto,3369861,94356,108
Valentina García,Alquitran,PEREIRA,Rodríguez Ale,Abierto,4089800,114514,4
Manuela Gómez,Cloruro de Amonio,BOGOTA,García Val,Cerrado,2167420,60687,76
Geraldine Ortiz,Acetileno,BOGOTA,Gómez Man,Pendiente envío,1580000,44240
Valerie Zapata,Cloruro de Amonio,PEREIRA,Muriel Nat,Abierto,1366180,38253,04
Juliana Pérez,Kerosene,MEDELLIN,Zapata Man,Abierto,8873464,248456,992
Valerie Zapata,Alquitran,NEIVA,Alzate Val,Abierto,1716921,48073,788
Cristián Grajales,Cloruro de Amonio,CALDAS,Arenas And,Cerrado,4782720,133916,16
Alejandro Rodríguez,Alquitran,VILLAVICENCIO,Rodríguez Ale,Pendiente envío,1634220,45758,16
Juliana Pérez,Acido Clorhidrico-Muriático,IBAGUE,Alzate Val,Abierto,5417592,151692,576
Cristián Grajales,Eter Etílico,VILLAVICENCIO,De Los Ríos Val,Ingresado,7070890,197984,92
Manuela Gómez,Acetona ,MEDELLIN,Sánchez Mar,Abierto,3355210,93945,88
Manuela Betancur,Eter Etílico,PEREIRA,Muriel Nat,Ingresado,2860233,80086,524
Camila Vanegas,Acetona ,BUCARAMANGA,Sánchez Mar,Abierto,5588574,156480,072
Valentina De Los Ríos,Toluol,PASTO,Pérez Jul,Pendiente envío,2567730,71896,44
Cristián Grajales,Alquitran,CALI,Pérez Jul,Ingresado,6339309,177500,652
Geraldine Ortiz,Acido Sulfúrico,MEDELLIN,Arenas And,Abierto,2103353,58893,884
Natalia Zapata,Acido Sulfúrico,MEDELLIN,De Los Ríos Val,Ingresado,3044447,85244,516
Manuela Zapata,Acetileno,BOGOTA,Grajales Cri,Abierto,1350917,37825,676
Valentina García,Acido Clorhidrico-Muriático,NEIVA,Zapata Man,Abierto,2323642,65061,976
Diego Zapata,Alquitran,VILLAVICENCIO,Zapata Man,Abierto,1693945,47430,46
Manuela Gómez,Alquitran,BOGOTA,Cardona Jua,Pendiente envío,2630187,73645,236
Alejandro Rodríguez,Acido Clorhidrico-Muriático,MEDELLIN,Gómez Man,Pendiente envío,4198141,117547,948
Valentina De Los Ríos,Acetileno,NEIVA,Zapata Man,Abierto,3105019,86940,532
Manuela Betancur,Acetileno,MEDELLIN,Cely Lui,Ingresado,1423746,39864,888
Manuela Zapata,Acetileno,CALI,Zapata Man,Pendiente envío,7154008,200312,224
Cristián Grajales,Gas,BOGOTA,Cardona Jua,Abierto,15628232,437590,496
Clara Sánchez,Cloruro de Amonio,MEDELLIN,Vanegas Cam,Abierto,17703600,495700,8
Valentina García,Acido Sulfúrico,NEIVA,Pérez Jul,Pendiente envío,2068364,57914,192
Luisa Cely,Alquitran,CALI,Cardona Jua,Abierto,7576102,212130,856
Juliana Pérez,Alquitran,MEDELLIN,Zapata Man,Ingresado,3120017,87360,476
Manuela Zapata,Acido Clorhidrico-Muriático,BOGOTA,Muriel Nat,Abierto,3854398,107923,144
Geraldine Ortiz,Acido Sulfúrico,PEREIRA,Pérez Jul,Abierto,2786000,78008
Andrea Arenas,Alquitran,MEDELLIN,Alzate Val,Ingresado,1450000,40600
Manuela Zapata,Acido Sulfúrico,PASTO,Arenas And,Abierto,32172970,900843,16
Camila Vanegas,Acetileno,POPAYAN,Vanegas Cam,Abierto,3269486,91545,608
Clara Sánchez,Toluol,MEDELLIN,Cardona Jua,Ingresado,3289899,92117,172
Geraldine Ortiz,Acetona ,PEREIRA,Grajales Cri,Abierto,4100038,114801,064
Luisa Cely,Eter Etílico,PEREIRA,Rodríguez Ale,Cerrado,2215610,62037,08
Nataly Muriel,Acetona ,BOGOTA,Vanegas Cam,Abierto,2656996,74395,888
Manuela Betancur,Acido Clorhidrico-Muriático,POPAYAN,Sánchez Mar,Abierto,29429047,824013,316
Clara Sánchez,Alquitran,MEDELLIN,Ortiz Ger,Cerrado,4572379,128026,612
Geraldine Ortiz,Acetona ,PEREIRA,Zapata Man,Abierto,1420063,39761,764
Juliana Pérez,Alquitran,BOGOTA,Betancur Man,Abierto,2120521,59374,588
Valerie Zapata,Toluol,BOGOTA,Pérez Jul,Abierto,1392000,38976
Diego Zapata,Acetileno,CALDAS,Alzate Val,Abierto,1700965,47627,02
Cristián Grajales,Toluol,SINCELEJO,Rodríguez Ale,Abierto,8719466,244145,048
